,position,block_position,title,link,displayed_link,tracking_link,description,extensions,sitelinks,query,lang,country,termid
0,1,bottom,The Renewable Generation - Read About Our Latest Thinking,https://www.ey.com/en_us/power-utilities/in-the-wake-of-a-human-crisis-do-climate-goals-take-a-back-seat,https://www.ey.com/,https://www.google.com/aclk?sa=l&ai=DChcSEwid8eW1_Nn3AhUZ7uMHHTjOCRYYABACGgJ5bQ&ae=2&sig=AOD64_2tXyKmRu6GW03FLUKroR-Re2p3-w&q&adurl,Renewables Are at the Center of the US Energy Transition. Read What Hurdles Are Expected. EY Will Work With You to Master This Disruption & Position You to Succeed.,,,Renewable Energy,en,US,58
1,2,bottom,Growing Wind & Solar in the US - 50GW renewable energy by 2030,https://www.bp.com/en_us/united-states/home/who-we-are/advocating-for-net-zero-in-the-us/renewables.html,https://www.bp.com/,https://www.google.com/aclk?sa=l&ai=DChcSEwid8eW1_Nn3AhUZ7uMHHTjOCRYYABAAGgJ5bQ&ae=2&sig=AOD64_0NFD3ZEX2QcatwxZVrWmw-OW23MQ&q&adurl,bp is building and advocating for more renewable capacity & infrastructure. bp is primarily in oil & gas today. That's changing as we work toward net zero by 2050.,['\u200eWho We Are · \u200ebp in the US'],"[{'title': 'Who We Are', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwid8eW1_Nn3AhUZ7uMHHTjOCRYYABADGgJ5bQ&ae=2&sig=AOD64_1yca4dKs_DqJZuYWoyrC8vCZWV0Q&q=&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0QpigoAHoECDIQBQ&adurl='}, {'title': 'bp in the US', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwid8eW1_Nn3AhUZ7uMHHTjOCRYYABAEGgJ5bQ&ae=2&sig=AOD64_04kVvOkk0nLyEEWVUTqinl0Klctg&q=&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0QpigoAXoECDIQBg&adurl='}]",Renewable Energy,en,US,58
2,3,bottom,Renewable Natural Gas + TCE - Growing Renewable Natural Gas,https://www.msn.com/en-us/news/us/us-greenhouse-gas-emissions-rebounded-sharply-in-2021-new-analysis-shows/ar-AASCmte,https://www.msn.com/,https://www.google.com/aclk?sa=l&ai=DChcSEwid8eW1_Nn3AhUZ7uMHHTjOCRYYABABGgJ5bQ&ae=2&sig=AOD64_2gvQSJwrfj3HYHlwYLd80V5L3haw&q&adurl,TC Energy is flexing our vast infrastructure to deliver change - securely and sustainably. With energy solutions from natural gas and renewables to carbon capture and hydrogen.,,,Renewable Energy,en,US,58
0,1,top,Zenman Energy - Open Source Solar Power,https://www.zenmanenergy.org/,https://www.zenmanenergy.org/,https://www.google.com/aclk?sa=l&ai=DChcSEwi-1MG5_Nn3AhUZ4MgKHXwUAJwYABABGgJxdQ&ae=2&sig=AOD64_07k5oo6P-1BXPkpw19B1VuYAP3tg&q=&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Qh78CegQIAxAB&adurl=,Let's remove the greed from climate change and work together to make solar...,"[""\u200eWorking As A Volunteer · \u200eVolunteer With Us · \u200eZenman Energy's Mission · \u200ePilot Project""]","[{'title': 'Working As A Volunteer', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi-1MG5_Nn3AhUZ4MgKHXwUAJwYABACGgJxdQ&ae=2&sig=AOD64_11IC-xxb7v8lqfKwYvj6T6o5Ug6A&q=&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0QpigoAHoECAMQBw&adurl='}, {'title': 'Volunteer With Us', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi-1MG5_Nn3AhUZ4MgKHXwUAJwYABADGgJxdQ&ae=2&sig=AOD64_1rxvjIOQWo6cv8dBl2NFHCub30mw&q=&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0QpigoAXoECAMQCA&adurl='}, {'title': ""Zenman Energy's Mission"", 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi-1MG5_Nn3AhUZ4MgKHXwUAJwYABAEGgJxdQ&ae=2&sig=AOD64_1Q434ZLbQZrNi0s3vm8mpwV2kpHg&q=&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0QpigoAnoECAMQCQ&adurl='}, {'title': 'Pilot Project', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi-1MG5_Nn3AhUZ4MgKHXwUAJwYABAFGgJxdQ&ae=2&sig=AOD64_3Th-xtCKawoTJXOlL-l_NEgmKLQg&q=&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0QpigoA3oECAMQCg&adurl='}]",Climate change,en,US,59
0,1,bottom,Cure Infection Permanently Now - treatment for infection,https://www.google.com/aclk?sa=L&ai=DChcSEwjJ-IfU_Nn3AhXPwMgKHS8ABxcYABAAGgJxdQ&ae=2&sig=AOD64_05gdp66_BO4vm2PBypYDwFVn8EjQ&adurl=&q=,https://bestdick.prowellnesshub.xyz/,https://www.google.com/aclk?sa=L&ai=DChcSEwjJ-IfU_Nn3AhXPwMgKHS8ABxcYABAAGgJxdQ&ae=2&sig=AOD64_05gdp66_BO4vm2PBypYDwFVn8EjQ&q&adurl,Best herbal cure for staphylococcus for all symptoms of staphylococcus in men and women. Cure All KInds Of Toilet Infections Infertility STDs STIs Private Part Itching.,,,Infection,en,NG,68
1,2,bottom,Flush Out Stubborn Infection - Get Rid Of Staph,https://www.google.com/aclk?sa=l&ai=DChcSEwjJ-IfU_Nn3AhXPwMgKHS8ABxcYABABGgJxdQ&ae=2&sig=AOD64_21vsd8tURT4EJCcDRCL6Ue4sHJkg&adurl=&q=,https://www.agileman.xyz/,https://www.google.com/aclk?sa=l&ai=DChcSEwjJ-IfU_Nn3AhXPwMgKHS8ABxcYABABGgJxdQ&ae=2&sig=AOD64_21vsd8tURT4EJCcDRCL6Ue4sHJkg&q&adurl,"Cure Chronic Staph Infections, STDs, Urinary Tract Infections. Pay On Delivery Nationwide. Contact Us To get The Best herbal Solution To Any Stubborn Infection. Door step delivery. Payment On Delivery. 7 Days Recovery. Free Nationwide Delivery. Types: STDs, UTIs, STIs.",,,Infection,en,NG,68
0,1,top,שיקום קרקע מזוהמת ומי תהום - וזה אקולוגיה - זיהום קרקע,http://www.vasa-eco.co.il/service.asp?submenu=13&parent=8&navigate=3,http://www.vasa-eco.co.il/זיהום_קרקע,https://www.google.com/aclk?sa=l&ai=DChcSEwjfoo7r_Nn3AhUOwsIEHduLDP0YABAAGgJwdg&ae=2&sig=AOD64_1hSTe48sLk0sWDjQ3IikryMgNz_A&q&adurl,"מומחים לאיתור וטיפול בקרקע מזוהמת. באישור המשרד להגנת הסביבה - התקשרו! מוסמכת ע""י הרשות הלאומית. טיפול בקרקעות מזוהמות. חברת ייעוץ סביבתי מקצועית. שירותים: סקר קרקע, סקר גז קרקע, סקר מי תהום.",,,זיהום קרקע,iw,IL,65
0,1,top,כל המידע על גז חממה - זווית - ידיעות לסביבה ומדע‏ - ‪zavit.org.il‬,https://www.zavit.org.il/%D7%9E%D7%94-%D7%90%D7%AA%D7%9D-%D7%99%D7%95%D7%93%D7%A2%D7%99%D7%9D-%D7%A2%D7%9C-%D7%A9%D7%99%D7%A0%D7%95%D7%99-%D7%94%D7%90%D7%A7%D7%9C%D7%99%D7%9D/,https://www.zavit.org.il/ריכוז_פחמן/כתבות,https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABAAGgJ5bQ&ae=2&sig=AOD64_3gzVgLfT40VGOjoeB_gtmwmHUirA&q&adurl,מתעניינים בנושאי מדע וסביבה? בזווית תמצאו את מיטב הכתבות והמחקרים בתחום. יודעים מהו אפקט החממה? הכנסו לאתר זווית ותגלו. מחקרים מהעולם בנושא סביבה.,,,גז חממה,iw,IL,66
1,2,top,דוידסון מסביר: מה זה גז חממה - ואיך זה קשור להתחממות גלובלית,https://davidson.weizmann.ac.il/online/askexpert/%D7%9E%D7%94-%D7%96%D7%94-%D7%92%D7%96-%D7%97%D7%9E%D7%9E%D7%94,http://davidson.weizmann.ac.il/שאל_את_המומחה/גז_חממה,https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABABGgJ5bQ&ae=2&sig=AOD64_1Xl70GJB-CYdklD6rIa2I5EhEn_w&q&adurl,"כיצד גזים באטמוספרה תורמים להתחממות כדור הארץ ואיך אפשר לצמצם את פליטתם? לכתבה. מידע על מדע. רעלים"" שלא צריך לנקות"" ""לימדו על ""ניקוי רעלים.","['\u200fשאל את המומחה · \u200fיש מקום לספק · \u200fהיום לפני, במדע · \u200fחדשות מדע']","[{'title': 'שאל את המומחה', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABACGgJ5bQ&ae=2&sig=AOD64_3KAVW230J--GYiM2wuK4S9rrCcjw&q=&ved=2ahUKEwj_zZbs_Nn3AhWqc98KHXL0CMwQpigoAHoECAMQBw&adurl='}, {'title': 'יש מקום לספק', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABAEGgJ5bQ&ae=2&sig=AOD64_0ilUHCgafN2Nl299LI802TrXN7TQ&q=&ved=2ahUKEwj_zZbs_Nn3AhWqc98KHXL0CMwQpigoAXoECAMQCA&adurl='}, {'title': 'היום לפני, במדע', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABAGGgJ5bQ&ae=2&sig=AOD64_10xLQyTSIydyyexPw5ZfGb9-xSiQ&q=&ved=2ahUKEwj_zZbs_Nn3AhWqc98KHXL0CMwQpigoAnoECAMQCQ&adurl='}, {'title': 'חדשות מדע', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwi1mZ3s_Nn3AhWw9uMHHY8tAPsYABAHGgJ5bQ&ae=2&sig=AOD64_1z7QSdHC-yr-Fv2mH4w-wVBzBXUA&q=&ved=2ahUKEwj_zZbs_Nn3AhWqc98KHXL0CMwQpigoA3oECAMQCg&adurl='}]",גז חממה,iw,IL,66
0,1,top,Seguridad alimentaria - ISO 22000,https://www.tuv.com/argentina/es/certificaci%C3%B3n-iso-22000.html,https://www.tuv.com/,https://www.google.com/aclk?sa=l&ai=DChcSEwi7-JnO_dn3AhUjyZQJHdZFD-EYABABGgJ5bQ&ae=2&sig=AOD64_1aIPnziKIHIG1aVJdf5DDfiD1PGg&q&adurl,"certifique seguridad alimentaria. Certificaciones. Certipedia. Standards and Regulations. Acceso al Mercado Mundial. Servicios: Auditoria Maquinaria Ind., Inspección de Grúas, Seguridad Funcional.",,,Seguridad alimentaria,es,AR,54
1,2,top,"Inseguridad alimentaria, Cuba - Situación de violencia en Cuba",https://www.cubadata.com/surveys/alimentos,https://www.cubadata.com/surveys/alimentos,https://www.google.com/aclk?sa=l&ai=DChcSEwi7-JnO_dn3AhUjyZQJHdZFD-EYABACGgJ5bQ&ae=2&sig=AOD64_1kzVz7wUNgz35TxnHb4l3-e6QZ3A&q&adurl,"Inseguridad alimentaria, violencia e inequidad de género en Cuba estadísticas. Indagamos a profundidad en la realidad sobre la escasez de alimentos en Cuba. Sondea la Sociedad Civil. ¿Qué piensa Cuba de tí? Indaga la opinión de Cuba. Potencia tu investigación.",,,Seguridad alimentaria,es,AR,54
2,3,top,Cambio climático trae incertidumbre alimentaria: el sector agrícola,https://geoinnova.org/blog-territorio/cambio-climatico-trae-incertidumbre-alimentaria/,https://www.geoinnova.org/cursos,https://www.google.com/aclk?sa=l&ai=DChcSEwi7-JnO_dn3AhUjyZQJHdZFD-EYABAAGgJ5bQ&ae=2&sig=AOD64_3hXfQ37xCrO99oXmnt8pi1xJOSQQ&q&adurl,Expertos en Formación Online 100% Actualizados y Garantizados. Aprende tecnologías SIG. Formación Presencial. Expertos Medio Ambiente. Contenido Actualizado. Técnicos Geomáticos. Expertos en Formación SIG. Mejores Cursos Online. Técnicos de SIG.,,,Seguridad alimentaria,es,AR,54
0,1,top,Energia Renovable - Expertos en Energia Renovable,https://greenconnection.com.ar/sample-page-3/,https://www.greenconnection.com.ar/energia/renovable,https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABAEGgJ5bQ&ae=2&sig=AOD64_370Wu-xn_0NSqc_tLp878qzRXHkg&q&adurl,La solución perfecta ante posibles cortes de luz. Amplia experiencia en energía renovable. Especialistas en climatización solar. Realizamos trabajo a medida. La solución perfecta. Sistema líder del mercado. Ahorrá Energía hoy. Presupuesto a medida. Solicita tu visita hoy.,,,Energía renovable,es,AR,58
1,2,top,SUSTENTATOR - Paneles Solares - Líder en energía renovable,https://www.sustentator.com/,https://www.sustentator.com/,https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABACGgJ5bQ&ae=2&sig=AOD64_09dFhXdrDmdhL2T07gGGTUfhw27w&q&adurl,¡Reducí el consumo eléctrico! Kit fotovoltaico que ya viene prearmado listo para instalar! Te...,,,Energía renovable,es,AR,58
2,3,bottom,Energías Renovables - Abierta la inscripción,https://uca.edu.ar/es/facultades/facultad-de-humanidades-y-ciencias-economicas/posgrado-online/diplomatura-en-energias-renovables-1,https://www.uca.edu.ar/,https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABADGgJ5bQ&ae=2&sig=AOD64_0R5pS_PKBsbr4WpUNRIQ3WtL12wA&q&adurl,"Alternativas energéticas renovables, reconociendo y optimizando los recursos autóctonos. Equipos y procesos para instalar, mantener y reparar estas tecnologías. Innovación.",['\u200eCarreras de Grado · \u200eCarreras de Posgrado · \u200eFacultades e Institutos · \u200eNuestra Historia'],"[{'title': 'Carreras de Grado', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABAGGgJ5bQ&ae=2&sig=AOD64_0JB7V2qxVePTZ0wZ-r_ggXDkH49w&q=&ved=2ahUKEwia-OTQ_dn3AhWvTd8KHXZbBl4QpigoAHoECAMQBw&adurl='}, {'title': 'Carreras de Posgrado', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABAJGgJ5bQ&ae=2&sig=AOD64_0g6eGWBeQt0BVpfGrAniNA9t6u5A&q=&ved=2ahUKEwia-OTQ_dn3AhWvTd8KHXZbBl4QpigoAXoECAMQCA&adurl='}, {'title': 'Facultades e Institutos', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABALGgJ5bQ&ae=2&sig=AOD64_0yw6Kfug_0-OG5xnnEhnAIgTQLkA&q=&ved=2ahUKEwia-OTQ_dn3AhWvTd8KHXZbBl4QpigoAnoECAMQCQ&adurl='}, {'title': 'Nuestra Historia', 'link': 'https://www.google.com/aclk?sa=l&ai=DChcSEwiWtezQ_dn3AhXKOLMAHbjRDtkYABAOGgJ5bQ&ae=2&sig=AOD64_0j4-NdKj8Wd4oo5dmGuy2e9bqGsQ&q=&ved=2ahUKEwia-OTQ_dn3AhWvTd8KHXZbBl4QpigoA3oECAMQCg&adurl='}]",Energía renovable,es,AR,58
