termId,englishTerm,Class
5,Environment,2
6,Ecosystem,2
8,Pollution,2
12,Fungus,1
13,Mammal,1
16,Solution,1
20,Atom,1
28,Energy,1
29,Weight,1
35,Solar system,1
38,Evolution,1
39,PCR,1
42,mRNA,2
43,genome,1
44,Mars,1
45,Asteroid,1
46,CRISPR,2
47,Autonomic car,2
49,black hole,1
52,Mutation,1
53,Malnutrition,1
56,Calorie,1
58,Renewable Energy,2
59,Climate change,2
65,Soil contamination,2
66,Greenhouse gas,2
68,Infection,1
70,Flood,1
71,Drought,1
72,Covid ,2
73,Cultured meat,2
74,Tissue engineering,2
75,Protein folding,2
76,Immunotherapy,2